year,and,total_players,tun,alg,uzb,jpn,mda,ken,por,pol,ita,arg,ind,arm,sen,rou,bra,cze,hai,fra,est,usa,esp,lux,chi,ned,swe,ukr,aus,irl,ngr,aut,total_countries,per,sui,blr,jam,zim,fin,ven,bol,pak,ger,tur,cyp,phi,mar,bih,hun,par,uru,rsa,ltu,ecu,lat,mon,bul,rus,geo,mex,nor,kor,isr,srb,tpe,bar,svk,bel,dom,crc,egy,pur,gbr,can,den,kaz,col,cro,slo,tha,bah,nzl,
1968,0,96,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,51,1,0,3,1,0,0,13,0,0,0,21,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,2,0,0,0,2,
1969,0,128,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,2,0,6,0,48,3,0,6,1,2,0,19,0,0,0,23,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,6,3,1,0,0,2,0,0,0,4,
1970,0,108,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,4,0,47,2,0,3,1,2,0,16,0,0,0,22,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0,0,3,
1971,0,128,0,0,0,3,0,0,0,0,0,2,3,0,0,2,1,4,0,4,0,54,2,0,2,1,1,0,17,0,0,0,27,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,8,1,1,0,0,2,0,0,0,2,
1972,0,128,0,0,0,3,0,0,0,0,1,1,4,0,0,2,0,4,0,6,0,50,4,0,3,1,0,0,19,0,0,0,28,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,1,1,0,0,0,3,
1973,0,128,0,0,0,1,0,0,0,0,4,3,3,0,0,3,1,4,0,6,0,49,2,0,3,1,3,0,16,0,0,0,26,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,1,1,0,0,0,3,
1974,0,128,0,0,0,2,0,0,0,0,0,1,3,0,0,1,2,5,0,3,0,50,4,0,5,1,2,0,20,0,0,1,29,0,0,0,0,2,0,1,1,1,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6,0,1,0,1,0,0,0,0,2,
1975,0,128,0,0,0,2,0,0,0,1,0,3,3,0,0,1,2,5,0,3,0,46,5,0,5,2,4,0,14,0,0,1,29,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,1,1,0,6,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,2,1,0,0,0,1,
1976,0,128,0,0,0,1,0,0,0,1,3,3,2,0,0,1,0,3,0,4,0,52,4,0,2,2,4,0,17,0,0,1,30,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,7,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,2,1,0,0,0,2,
1977,0,128,0,0,0,0,0,0,0,1,2,3,4,0,0,1,1,2,0,4,0,56,5,0,4,0,2,0,16,0,0,0,27,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,2,0,8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,2,
1978,0,128,0,0,0,0,0,0,0,1,3,2,3,0,0,0,0,3,0,6,0,59,2,0,3,1,3,0,14,0,0,1,25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,8,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,2,
1979,0,128,0,0,0,0,0,0,0,1,1,3,3,0,0,1,1,4,0,5,0,68,0,0,1,1,3,0,14,0,0,0,24,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,3,
1980,0,128,0,0,0,0,0,0,0,1,1,3,3,0,0,1,1,1,0,6,0,72,0,0,2,1,2,0,10,0,0,1,28,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,6,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,
1981,0,128,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,7,0,75,0,0,3,0,3,0,11,0,0,0,24,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,2,
1982,0,128,0,0,0,0,0,0,0,1,1,2,1,0,0,1,4,1,0,7,0,77,1,0,2,0,6,0,7,0,1,0,23,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
1983,0,128,0,0,0,0,0,0,0,0,2,2,1,0,0,2,5,1,0,7,0,75,1,0,2,0,8,0,6,0,1,1,25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,
1984,0,128,0,0,0,0,0,0,0,1,2,2,2,0,0,1,2,1,0,3,0,71,1,0,2,0,9,0,8,0,0,0,28,1,3,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,2,
1985,0,128,0,0,0,0,0,0,0,1,2,8,2,0,0,1,2,3,0,5,0,56,0,0,2,1,8,0,5,0,2,0,33,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,1,3,0,1,0,0,0,0,0,1,0,0,3,1,0,0,2,1,0,0,1,0,3,1,0,0,0,2,0,0,0,1,
1986,0,128,0,0,0,0,0,0,0,1,1,5,1,0,0,0,4,4,0,5,0,51,2,0,1,0,13,0,8,0,1,2,30,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,6,0,1,0,0,0,1,0,2,0,0,2,1,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,
1987,0,128,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,4,0,6,0,54,3,0,1,1,12,0,10,0,1,2,30,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5,0,1,0,0,0,2,0,1,0,0,1,1,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,
1988,0,128,0,0,0,1,0,0,1,1,4,5,1,0,1,0,2,3,0,6,0,48,4,0,0,2,11,0,6,0,0,2,31,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,2,1,0,0,2,2,0,0,0,1,2,3,0,0,0,0,0,0,1,1,
1989,0,128,0,0,0,1,0,0,0,0,3,5,1,0,1,0,2,1,0,5,0,50,4,0,0,4,9,0,9,0,0,2,31,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4,0,2,0,0,2,1,0,0,2,0,0,0,0,1,1,3,0,0,0,1,0,0,0,1,
1990,0,128,0,0,0,1,0,0,0,0,3,4,1,0,0,0,1,4,0,8,0,44,7,0,0,1,10,0,11,0,1,2,28,1,2,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,1,4,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,1,
1991,0,128,0,0,0,0,0,0,1,0,5,5,1,0,0,0,2,2,1,9,0,36,6,0,0,6,10,1,6,0,0,1,30,2,2,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,5,0,1,0,0,0,4,0,1,0,0,2,0,0,0,1,1,0,0,0,0,2,3,0,0,0,2,0,0,0,1,
1992,0,128,0,0,0,1,0,0,0,0,7,6,0,0,0,0,3,4,0,9,0,33,12,0,1,5,10,0,6,0,0,2,25,1,2,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,
1993,0,128,0,0,0,1,0,0,1,0,3,1,0,0,0,0,3,6,0,9,0,33,11,0,1,4,11,2,9,0,0,1,28,1,2,0,0,2,0,1,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,
1994,0,128,0,0,0,0,0,0,0,0,6,3,1,0,0,0,1,4,0,7,0,26,10,0,1,4,13,1,9,0,0,3,32,1,1,0,0,2,0,2,0,0,9,0,0,0,2,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,1,1,0,1,1,0,0,2,1,
1995,0,128,0,0,0,1,0,1,1,0,5,2,1,1,0,1,1,7,0,9,0,25,8,0,1,6,7,1,7,0,0,2,38,1,2,0,0,2,0,1,0,0,10,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,1,1,0,0,0,0,0,1,2,0,0,0,0,4,2,2,0,1,1,0,0,1,1,
1996,0,128,0,0,0,1,0,0,0,0,4,2,1,0,0,1,3,7,0,7,0,20,13,0,1,4,8,1,11,0,0,2,36,0,3,0,0,1,0,2,0,0,8,0,0,1,3,0,0,1,1,5,0,2,0,0,0,3,0,0,1,0,0,0,0,0,2,2,0,0,1,0,2,0,1,0,1,1,0,0,1,0,
1997,0,128,0,0,1,0,0,0,0,0,5,1,1,1,0,3,3,6,0,7,0,21,14,0,1,7,7,1,10,0,0,2,38,1,1,0,0,2,1,1,0,0,8,0,0,1,2,0,0,0,1,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0,3,2,0,1,0,0,2,1,1,0,0,1,0,0,0,1,
1998,0,128,0,0,0,0,0,0,0,0,4,6,1,1,0,3,2,6,0,10,0,19,13,0,1,6,6,1,10,0,0,1,37,0,1,0,0,2,0,0,0,0,10,0,0,0,1,0,0,1,1,3,0,1,0,0,0,2,0,0,1,1,2,0,0,0,2,1,0,1,0,0,2,2,1,0,0,1,0,0,1,1,
1999,0,128,0,0,0,1,0,0,0,0,4,7,0,1,0,1,2,6,0,10,0,18,12,0,1,6,8,1,8,0,0,2,36,0,4,1,0,2,1,0,0,0,10,0,0,1,3,0,0,1,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,1,0,0,2,2,1,0,0,2,0,0,0,0,
2000,0,128,0,0,0,0,0,0,0,0,3,6,0,1,0,2,3,6,0,11,0,18,10,0,3,5,7,0,7,0,0,2,35,0,4,1,0,2,0,0,0,0,9,0,0,1,3,0,1,0,0,1,0,1,0,0,1,2,0,0,1,1,1,0,0,0,2,3,0,1,0,0,4,2,0,0,0,2,0,1,0,0,
2001,0,128,0,0,0,0,0,0,0,0,4,6,0,0,0,1,4,8,0,11,0,18,17,0,2,5,6,0,4,0,0,2,30,0,5,2,0,0,0,0,0,0,6,0,0,1,3,0,0,1,0,1,0,1,0,0,0,6,0,0,0,1,1,0,0,0,1,3,0,0,0,0,3,0,2,0,0,2,0,1,0,0,
2002,0,128,0,1,0,0,0,0,0,0,2,8,1,1,0,2,4,5,0,9,0,17,13,0,3,6,6,0,3,0,0,3,39,1,4,1,0,0,2,0,0,0,6,0,0,1,2,0,1,1,0,1,0,1,0,1,1,5,1,0,0,1,2,0,0,0,2,3,0,0,0,0,2,0,2,0,0,2,0,1,0,0,
2003,0,128,0,0,0,0,0,0,0,0,3,9,0,1,0,1,2,5,0,11,0,18,16,0,2,4,6,0,4,0,0,3,34,2,1,2,0,0,1,0,0,0,7,0,0,0,2,1,0,1,0,2,0,1,0,1,0,5,0,0,0,1,0,1,0,0,3,4,0,0,0,0,2,0,1,0,0,4,0,1,0,0,
2004,0,128,0,0,0,1,0,0,0,0,4,7,0,1,0,2,3,5,0,15,0,16,14,0,2,2,5,0,3,0,0,3,35,1,2,1,0,0,2,0,0,0,7,0,1,0,2,1,0,0,0,1,0,0,0,0,0,6,1,0,0,1,0,1,1,0,3,4,0,0,0,0,3,0,2,0,0,3,0,2,0,0,
2005,0,128,0,0,0,0,0,0,0,0,6,9,0,0,0,3,2,8,0,9,0,17,14,1,3,1,3,0,4,0,0,2,33,1,4,1,0,0,1,0,0,0,10,0,1,0,1,0,0,0,0,1,0,1,0,0,0,5,0,0,0,1,1,2,0,0,3,5,0,0,0,0,3,0,1,0,0,3,0,1,0,0,
2006,0,128,0,0,0,0,0,0,0,1,6,9,0,0,0,1,3,7,0,12,0,20,13,1,2,1,3,0,2,0,0,3,35,1,4,1,0,0,1,0,0,0,9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,1,1,2,1,0,1,4,0,0,0,0,4,0,1,0,1,2,0,1,0,0,
2007,0,128,0,0,0,0,0,0,0,1,4,13,0,0,0,1,0,2,0,15,0,18,13,0,3,1,2,0,4,0,0,3,37,1,2,1,0,0,1,0,0,0,11,0,1,0,0,1,0,0,1,1,0,1,1,0,0,7,0,1,0,1,1,2,0,0,1,4,0,0,0,0,2,2,1,1,0,2,0,1,0,0,
2008,1,128,0,0,0,1,0,0,2,0,5,10,0,0,0,1,3,7,0,15,0,17,14,1,2,0,2,0,3,0,0,1,37,1,3,0,0,0,1,0,0,1,9,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,0,0,0,1,1,3,1,0,1,2,0,0,0,0,1,2,0,2,0,3,0,0,0,0,
2009,0,128,0,0,1,0,0,0,2,0,5,9,1,0,0,3,3,3,0,12,0,17,15,0,3,0,1,1,4,0,0,2,34,0,3,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,1,0,0,2,1,0,0,7,0,0,0,0,1,3,1,0,1,3,0,0,0,0,1,2,0,2,1,3,0,0,0,0,
2010,0,128,0,0,1,1,0,0,1,2,3,9,1,0,0,1,3,5,0,14,0,15,13,0,1,1,1,3,3,0,0,2,38,0,3,0,0,0,1,0,0,0,12,0,1,0,0,0,0,0,1,2,1,0,1,0,0,5,0,0,0,0,1,3,1,0,2,3,0,0,0,0,1,2,0,3,2,3,0,0,0,0,
2011,0,128,1,0,1,3,0,0,2,0,5,8,1,0,0,1,4,3,0,14,0,13,13,1,1,3,0,3,2,2,0,2,41,0,2,0,0,0,1,0,0,0,7,1,1,0,0,0,0,0,0,1,0,0,1,1,1,6,0,0,0,0,1,3,1,0,2,3,0,0,0,0,1,2,0,2,3,4,1,0,0,0,
2012,0,128,1,0,1,4,0,0,1,2,5,6,1,0,0,1,3,3,0,12,1,19,12,1,0,2,0,2,4,0,0,1,38,0,2,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,1,0,0,1,0,1,5,0,0,0,0,0,3,2,0,3,5,0,0,0,0,1,2,0,1,2,3,2,0,0,0,
2013,0,128,0,0,1,2,0,0,1,3,5,7,1,0,0,2,2,4,0,15,1,15,13,0,0,3,0,2,5,0,0,2,39,0,2,0,0,0,1,0,0,0,9,0,1,0,0,0,0,0,1,1,1,0,1,0,1,6,0,0,0,0,1,2,1,0,3,2,0,0,0,0,3,3,0,1,1,2,1,0,0,0,
2014,0,128,0,0,1,4,1,0,1,1,4,7,0,0,0,0,1,4,0,13,0,12,13,1,0,2,0,2,6,1,0,3,40,0,3,0,0,0,1,0,0,0,8,0,1,0,0,1,0,0,1,1,0,0,1,0,1,6,0,0,0,0,1,3,1,0,2,3,1,0,0,0,1,3,0,3,3,4,2,0,0,0,
2015,0,128,1,0,1,2,1,0,1,1,5,4,0,0,0,0,2,4,0,11,0,16,12,1,0,1,1,3,9,0,0,3,44,0,2,0,0,0,1,0,0,0,7,1,1,0,0,1,0,0,1,1,1,0,1,0,1,5,1,0,0,1,1,4,1,0,2,3,1,0,0,0,3,2,0,2,2,3,0,0,0,0,
2016,0,128,1,0,1,2,1,0,2,1,5,9,1,0,0,0,3,4,0,13,0,17,11,1,0,1,0,3,5,0,0,1,40,0,2,1,0,0,0,0,0,0,8,0,1,0,0,1,1,0,1,1,1,0,0,0,1,5,0,0,0,0,1,4,1,0,3,2,1,0,0,0,4,2,0,1,0,4,0,0,0,0,      
2017,0,128,1,0,1,2,1,0,1,0,6,7,0,0,0,1,3,3,0,13,0,19,9,1,0,1,0,1,7,0,0,2,43,0,2,0,0,0,0,0,0,0,8,0,1,0,0,1,1,0,1,1,1,0,1,0,1,7,1,0,0,1,1,3,1,1,2,3,0,0,0,0,3,2,0,1,1,3,1,0,0,0,